sector,layer,median_price,transaction_count,ew_percentile,neighbour_count,neighbourhood_median,pct_above_neighbourhood,low_transaction_count,min_sales_threshold,priced_neighbour_count,low_count_neighbour_count,has_geometry,analysis_status
WV5 7,2,510000.0,92,85.96544591799488,30,279987.5,0.8215098888343229,False,20,30,0,True,ok
W4 1,2,1125000.0,375,98.46696678428032,13,618500.0,0.8189167340339532,False,20,13,0,True,ok
NW10 3,2,1050000.0,217,98.284462830028,18,577500.0,0.8181818181818181,False,20,18,0,True,ok
L5 2,2,199950.0,43,22.314150139919697,17,110000.0,0.8177272727272726,False,20,17,4,True,ok
AL6 0,2,755275.0,236,96.04574765786592,25,415750.0,0.81665664461816,False,20,25,0,True,ok
DN5 7,2,290500.0,424,49.28823457841587,37,160000.0,0.815625,False,20,37,1,True,ok
L40 2,2,433000.0,49,77.77710183720647,25,238500.0,0.8155136268343814,False,20,25,0,True,ok
W1B 1,2,2400000.0,28,99.65932595206228,30,1322500.0,0.8147448015122873,False,20,28,10,True,ok
PO18 9,2,787500.0,51,96.520257938922,34,435000.0,0.8103448275862069,False,20,34,0,True,ok
RG7 6,2,750000.0,94,95.92407835503104,19,415000.0,0.8072289156626506,False,20,19,0,True,ok
L40 3,2,454000.0,32,80.59982966297603,12,251750.0,0.8033763654419066,False,20,12,0,True,ok
TS15 0,2,450000.0,92,80.05840126536074,21,249972.5,0.8001980217823961,False,20,21,0,True,ok
TQ14 0,2,452500.0,106,80.56332887212557,10,252500.0,0.7920792079207921,False,20,10,0,True,ok
PE31 8,2,535000.0,287,87.71140041367563,20,298775.0,0.7906451342983851,False,20,20,0,True,ok
NW1 4,2,1750000.0,61,99.39165348582551,35,977500.0,0.7902813299232736,False,20,35,7,True,ok
HX7 7,2,297500.0,109,50.71784888672588,23,166500.0,0.7867867867867868,False,20,23,0,True,ok
S20 3,2,344500.0,6,61.88100742182747,11,193000.0,0.7849740932642486,True,20,11,0,True,ok
NE47 8,2,410000.0,11,73.84109989049763,23,230000.0,0.7826086956521738,True,20,23,0,True,ok
SO42 7,2,820000.0,189,96.86701545200144,26,460500.0,0.780673181324647,False,20,26,0,True,ok
NW8 6,2,1552500.0,140,99.2091495315732,21,872500.0,0.7793696275071633,False,20,21,0,True,ok
PE5 7,2,477500.0,54,83.02104878939043,32,268875.0,0.7759181775918178,False,20,32,1,True,ok
MK15 0,2,530000.0,39,87.43156101715537,19,298500.0,0.7755443886097153,False,20,19,0,True,ok
TS21 2,2,260000.0,143,40.716632193697535,33,146500.0,0.7747440273037542,False,20,33,0,True,ok
NP23 8,2,250000.0,35,37.717483878817376,18,141000.0,0.7730496453900708,False,20,18,0,True,ok
HP9 1,2,950000.0,368,97.8525368049641,24,537907.5,0.7661029080278672,False,20,24,0,True,ok
WA5 7,2,358000.0,55,64.6854848521718,21,203000.0,0.7635467980295567,False,20,21,0,True,ok
NW3 7,2,1394607.5,216,99.03881250760432,28,791250.0,0.7625371248025277,False,20,28,0,True,ok
NG2 5,2,415000.0,368,74.71103540576712,20,236096.0,0.7577595554350773,False,20,20,1,True,ok
LS14 3,2,570000.0,128,89.97444944640466,31,325000.0,0.7538461538461538,False,20,31,0,True,ok
SW19 5,2,1322500.0,180,98.8988928093442,13,755350.0,0.7508439796121003,False,20,13,0,True,ok
NW7 4,2,1010000.0,169,98.1506265969096,22,580000.0,0.7413793103448276,False,20,22,0,True,ok
L17 5,2,430000.0,32,77.35125927728434,18,247500.0,0.7373737373737375,False,20,18,1,True,ok
TQ9 6,2,512500.0,300,86.14794987224724,30,295000.0,0.7372881355932204,False,20,30,0,True,ok
WD7 7,2,1000000.0,138,98.13237620148436,10,576750.0,0.7338534893801474,False,20,10,0,True,ok
RM14 3,2,650000.0,275,93.44810804234092,34,375000.0,0.7333333333333334,False,20,34,0,True,ok
YO1 8,2,520000.0,4,86.67721133957902,11,300000.0,0.7333333333333334,True,20,11,0,True,ok
CF3 2,2,400000.0,107,72.52707141988076,17,231000.0,0.7316017316017316,False,20,17,0,True,ok
CM11 1,2,733750.0,244,95.5955712373768,20,423750.0,0.7315634218289087,False,20,20,0,True,ok
NR25 7,2,580000.0,164,90.64971407713831,15,335000.0,0.7313432835820894,False,20,15,0,True,ok
HG2 9,2,610000.0,303,92.03674412945614,15,352500.0,0.7304964539007093,False,20,15,0,True,ok
S60 8,2,304995.0,519,52.60980654580849,16,176257.5,0.7303944512999447,False,20,16,0,True,ok
WA6 8,2,449500.0,82,79.60822484487163,19,260000.0,0.7288461538461539,False,20,19,0,True,ok
WA10 5,2,250000.0,249,37.717483878817376,29,145000.0,0.7241379310344827,False,20,29,6,True,ok
PL28 8,2,560000.0,228,89.33568560652148,5,325000.0,0.7230769230769232,False,20,5,0,True,ok
SN15 5,2,560000.0,165,89.33568560652148,26,325000.0,0.7230769230769232,False,20,25,0,True,ok
OX2 6,2,870000.0,277,97.3476091981993,12,505000.0,0.7227722772277227,False,20,11,0,True,ok
BA1 9,2,740000.0,58,95.72332400535343,32,430000.0,0.7209302325581395,False,20,32,0,True,ok
SO15 7,2,460000.0,110,81.13517459544957,20,267500.0,0.719626168224299,False,20,20,0,True,ok
BH19 3,2,625000.0,59,92.6146733179219,6,363750.0,0.7182130584192439,False,20,6,0,True,ok
SN5 3,2,500000.0,45,85.14417812385935,15,291375.0,0.716001716001716,False,20,14,0,True,ok
RG9 6,2,995000.0,80,98.08979194549217,25,580000.0,0.7155172413793103,False,20,25,0,True,ok
WD4 9,2,900000.0,144,97.51794622216816,24,525000.0,0.7142857142857142,False,20,24,0,True,ok
TN3 0,2,777500.0,184,96.34992091495316,28,453750.0,0.7134986225895317,False,20,28,0,True,ok
WR7 4,2,535000.0,177,87.71140041367563,32,312250.0,0.7133706965572457,False,20,32,0,True,ok
DY8 2,2,435000.0,192,77.95960579145881,17,255000.0,0.7058823529411764,False,20,17,0,True,ok
WS5 3,2,375000.0,321,68.18956077381677,21,220000.0,0.7045454545454546,False,20,21,0,True,ok
IG10 4,2,778888.5,192,96.37425477552014,23,457500.0,0.702488524590164,False,20,23,0,True,ok
L9 7,2,240000.0,19,34.59058279596058,22,141250.0,0.6991150442477876,True,20,22,0,True,ok
N1C 4,2,1150000.0,163,98.53996836598128,24,677500.0,0.6974169741697418,False,20,24,1,True,ok
HP9 2,2,975000.0,410,97.98637303808248,37,575000.0,0.6956521739130435,False,20,37,0,True,ok
OX2 7,2,780000.0,311,96.40467210122884,15,460000.0,0.6956521739130435,False,20,14,0,True,ok
BB2 5,2,265000.0,725,42.18274729285801,25,156500.0,0.6932907348242812,False,20,25,0,True,ok
EX3 0,2,550000.0,426,88.66650444092954,17,325000.0,0.6923076923076923,False,20,17,0,True,ok
DE21 5,2,383500.0,102,69.8807640832218,21,226750.0,0.691289966923925,False,20,21,0,True,ok
SY6 7,2,500000.0,97,85.14417812385935,23,296012.0,0.689120711322514,False,20,23,0,True,ok
GL53 9,2,678640.0,211,94.25720890619296,27,402000.0,0.6881592039800994,False,20,27,0,True,ok
LS17 9,2,595000.0,162,91.2823944518798,33,352500.0,0.6879432624113475,False,20,33,0,True,ok
HD2 2,2,300000.0,559,51.65470251855457,26,178000.0,0.6853932584269662,False,20,25,1,True,ok
BA2 7,2,640000.0,191,93.16218518067892,37,380000.0,0.6842105263157894,False,20,37,0,True,ok
S17 3,2,560000.0,338,89.33568560652148,24,332500.0,0.6842105263157894,False,20,24,0,True,ok
SR6 7,2,250000.0,421,37.717483878817376,18,148500.0,0.6835016835016836,False,20,18,0,True,ok
IP18 6,2,506500.0,244,85.71602384718335,14,301000.0,0.6827242524916943,False,20,14,0,True,ok
SP6 2,2,750000.0,90,95.92407835503104,25,446000.0,0.6816143497757847,False,20,25,0,True,ok
DL5 6,2,250000.0,181,37.717483878817376,30,148750.0,0.680672268907563,False,20,30,0,True,ok
RG9 5,2,828750.0,128,96.95826742912764,27,494000.0,0.6776315789473684,False,20,27,0,True,ok
ST9 9,2,311000.0,220,54.422679158048425,28,185500.0,0.6765498652291104,False,20,28,0,True,ok
NG14 7,2,460000.0,177,81.13517459544957,31,274500.0,0.6757741347905282,False,20,31,0,True,ok
BH6 4,2,615000.0,209,92.18883075799975,7,367000.0,0.6757493188010899,False,20,7,0,True,ok
TS12 1,2,235000.0,329,33.14271809222533,15,140250.0,0.6755793226381461,False,20,15,0,True,ok
S33 7,2,490050.0,7,84.24382528288112,22,292750.0,0.6739538855678906,True,20,22,1,True,ok
PL3 5,2,320000.0,440,56.54580849251734,16,191250.0,0.673202614379085,False,20,16,0,True,ok
BB12 9,2,267500.0,160,42.84584499330819,35,160000.0,0.671875,False,20,35,0,True,ok
BS6 7,2,685000.0,385,94.41537899987831,19,410000.0,0.6707317073170731,False,20,19,0,True,ok
B4 6,2,309000.0,158,53.44324127022752,14,185000.0,0.6702702702702703,False,20,14,4,True,ok
TR2 5,2,517500.0,168,86.50687431561018,7,310000.0,0.6693548387096775,False,20,7,0,True,ok
SL9 8,2,1050000.0,189,98.284462830028,15,630000.0,0.6666666666666667,False,20,15,0,True,ok
WA15 9,2,691250.0,318,94.64046721012288,17,415000.0,0.6656626506024097,False,20,17,0,True,ok
SR8 1,2,176000.0,161,15.950845601654704,16,105724.0,0.6647118913397148,False,20,16,0,True,ok
PO1 2,2,370000.0,150,67.1067039785862,16,222500.0,0.6629213483146068,False,20,16,0,True,ok
L26 0,2,299000.0,310,50.90643630611997,29,180000.0,0.6611111111111112,False,20,29,5,True,ok
BB6 8,2,350000.0,182,63.219369753011314,16,210750.0,0.66073546856465,False,20,16,0,True,ok
BB7 9,2,350000.0,677,63.219369753011314,34,210750.0,0.66073546856465,False,20,34,0,True,ok
