sector,transaction_count,median_price,mean_price,p25_price,p75_price,ew_percentile,low_transaction_count,min_sales_threshold
B60 3,356,265000.0,304628.71910112357,216500.0,367125.0,42.18274729285801,False,20
B60 4,160,355000.0,402157.9875,276125.0,475000.0,64.21705803625746,False,20
B61 0,492,285000.0,315452.4532520325,229250.0,390000.0,47.773451758121425,False,20
B61 7,178,265000.0,311225.393258427,210000.0,389375.0,42.18274729285801,False,20
B61 8,245,256500.0,260166.32653061225,205000.0,310000.0,39.5972746076165,False,20
B61 9,72,418750.0,480350.69444444444,320000.0,591250.0,75.2646307336659,False,20
B62 0,230,361750.0,400568.5652173913,270625.0,464500.0,65.5432534371578,False,20
B62 8,274,255000.0,283127.75547445257,198250.0,348750.0,39.068013140284705,False,20
B62 9,411,260000.0,263286.0097323601,210000.0,305000.0,40.716632193697535,False,20
B63 1,229,307500.0,327061.3799126638,275000.0,375000.0,53.26682078111692,False,20
B63 2,460,202250.0,204377.05869565217,165000.0,245000.0,23.555177028835626,False,20
B63 3,344,220500.0,227074.70639534883,172000.0,265750.0,29.078963377539846,False,20
B63 4,339,245000.0,241712.97935103244,181000.0,290000.0,36.05061442997932,False,20
B64 5,153,200000.0,206439.45751633987,170000.0,250000.0,22.885995863243703,False,20
B64 6,200,175000.0,185668.0,125000.0,230000.0,15.500669181165591,False,20
B64 7,191,239950.0,262810.8376963351,187500.0,335000.0,34.067404793770535,False,20
B65 0,205,195000.0,196166.6,163000.0,230000.0,21.395546903516244,False,20
B65 8,231,205000.0,219489.93506493507,170750.0,256750.0,24.20610779900231,False,20
B65 9,261,205000.0,212838.969348659,174000.0,247000.0,24.20610779900231,False,20
B66 1,35,160000.0,156898.57142857142,118500.0,194000.0,11.856673561260495,False,20
B66 2,27,170000.0,195740.74074074073,140000.0,271000.0,14.296143083100135,False,20
B66 3,96,183500.0,200025.52083333334,150000.0,240000.0,17.964472563572212,False,20
B66 4,131,184000.0,180815.99236641222,133500.0,220000.0,18.02530721498966,False,20
B67 5,351,234100.0,248013.75783475782,195000.0,290000.0,32.69254167173622,False,20
B67 6,214,200250.0,202557.19626168226,168112.5,231500.0,23.372673074583282,False,20
B67 7,135,195000.0,199140.0,160000.0,230000.0,21.395546903516244,False,20
B68 0,316,235000.0,238660.18670886077,186750.0,290000.0,33.14271809222533,False,20
B68 8,250,220000.0,226763.304,170625.0,268750.0,28.555785375349803,False,20
B68 9,303,227000.0,236911.43564356436,199950.0,260500.0,30.818834408078843,False,20
B69 1,344,210000.0,221903.6715116279,180000.0,253500.0,25.6053047816036,False,20
B69 2,167,202500.0,201486.7365269461,149500.0,236750.0,23.622095145394816,False,20
B69 3,186,230000.0,231506.98924731184,168000.0,285000.0,31.71918724905706,False,20
B69 4,145,185000.0,189926.89655172414,141000.0,225000.0,18.432899379486557,False,20
B7 4,9,205000.0,155800.0,110000.0,220000.0,24.20610779900231,True,20
B7 5,29,190000.0,184162.06896551725,153000.0,215000.0,19.959849130064487,False,20
B70 0,132,210000.0,215924.24242424243,180000.0,243000.0,25.6053047816036,False,20
B70 6,87,191000.0,196375.97701149425,130500.0,263000.0,20.483027132254534,False,20
